,total_long,total_short,net_short,total_oi,net_short_ratio,concentration_top5_short,concentration_top5_long,date,symbol,signal_level
1492,68676,82053,13377,150729,8.87,146.82,140.78,2021-06-03,IC2106,多头占优
1493,67763,79544,11781,147307,8.0,146.88,141.07,2021-06-04,IC2106,多头占优
1494,62607,74414,11807,137021,8.62,147.28,140.76,2021-06-07,IC2106,多头占优
1495,61641,72983,11342,134624,8.42,147.45,141.22,2021-06-08,IC2106,多头占优
1496,58466,68104,9638,126570,7.61,147.18,141.02,2021-06-09,IC2106,多头占优
1497,55691,65599,9908,121290,8.17,145.9,141.85,2021-06-10,IC2106,多头占优
1498,51027,58759,7732,109786,7.04,146.72,141.79,2021-06-11,IC2106,多头占优
1499,44301,51266,6965,95567,7.29,146.25,142.81,2021-06-15,IC2106,多头占优
1500,37031,40171,3140,77202,4.07,147.79,145.61,2021-06-16,IC2106,多头占优
1501,54091,58421,4330,112512,3.85,151.17,149.77,2021-06-17,IC2107,多头占优
1502,61396,68153,6757,129549,5.22,150.22,148.18,2021-06-18,IC2107,多头占优
1503,62430,69718,7288,132148,5.52,149.91,146.74,2021-06-21,IC2107,多头占优
1504,60948,67488,6540,128436,5.09,150.17,143.96,2021-06-22,IC2107,多头占优
1505,64219,72385,8166,136604,5.98,150.95,146.33,2021-06-23,IC2107,多头占优
1506,62914,71305,8391,134219,6.25,150.29,146.19,2021-06-24,IC2107,多头占优
1507,63974,72888,8914,136862,6.51,149.65,145.57,2021-06-25,IC2107,多头占优
1508,61943,70947,9004,132890,6.78,149.97,143.08,2021-06-28,IC2107,多头占优
1509,64902,71926,7024,136828,5.13,148.58,145.86,2021-06-29,IC2107,多头占优
1510,63464,71518,8054,134982,5.97,148.07,145.35,2021-06-30,IC2107,多头占优
1511,70572,74625,4053,145197,2.79,148.34,147.36,2021-07-01,IC2107,多头占优
1512,69522,72240,2718,141762,1.92,146.7,148.57,2021-07-02,IC2107,多头占优
1513,68505,72374,3869,140879,2.75,146.96,147.8,2021-07-05,IC2107,多头占优
1514,69655,73393,3738,143048,2.61,147.76,148.02,2021-07-06,IC2107,多头占优
1515,62569,67749,5180,130318,3.97,148.1,146.6,2021-07-07,IC2107,多头占优
1516,59799,64100,4301,123899,3.47,150.33,147.13,2021-07-08,IC2107,多头占优
